gid,fna,lat,long
3572,Cementerio de Tecka,-43.491514233999965,-70.80502198499994
3573,Cementerio de Nueva Francia,-28.194621878999953,-64.19522840999997
3574,Cementerio de Makallé,-27.20536534699994,-59.302714796999965
3575,Cementerio de Villa Ángela,-27.58187645399994,-60.695931394999945
3576,Cementerio de La Tercena,-28.369706289999954,-65.69858211599995
3796,Cementerio de Bowen,-35.010064746999944,-67.52419008799995
4202,,-31.63586829099995,-65.06994232099998
4203,Cementerio de Palo Santo,-25.57098487299993,-59.336126460999935
4294,,-42.69453614199995,-70.75117954299998
4573,,-34.06989605899997,-59.207371422999984
4574,Cementerio de Alto Río Senguer,-45.02117118999996,-70.80350068399997
4624,,-27.967601332999948,-65.54384448499997
4625,Cementerio de Los Andes,-27.680855665999957,-65.80640019599997
4626,,-27.752667111999983,-65.62321076399996
4627,,-27.757021281999982,-65.58496930199993
4628,Cementerio de San Pedro de Guasayán,-27.950509616999966,-65.14886878699997
3111,Cementerio Parque del Mar,-54.83328970399998,-68.34241385399997
3112,Cementerio de Palma Sola,-23.984456329999944,-64.30269766899994
3113,Cementerio de San Francisco de Alfarcito,-23.324597580999978,-65.96813500399998
3114,,-23.29889351199995,-65.95150123599996
3115,Cementerio de Sausalito,-23.28179117199994,-65.96859467599995
3116,Cementerio de Tusaquillas,-23.18925086799993,-65.98349879499995
3117,Cementerio de El Portillo,-23.31530133399997,-65.59860697799996
3118,Cementerio de Casa Grande,-23.22255437299998,-65.54675419499995
3119,Cementerio de Chocoara,-23.160533956999927,-65.63287936699999
3120,Cementerio de Laguna,-23.269023842999957,-65.56988855499998
3121,Cementerio de La Poma de Río Grande,-23.333169277999957,-65.67785939699996
3122,Cementerio de Quebraleña,-23.297545751999962,-65.77692859399997
3123,Cementerio de Agua de Castilla,-23.222819208999965,-65.80737428999998
3124,Cementerio de Quera,-23.09943430499993,-65.77123620899994
3125,Cementerio de Paraje Cajas,-23.21555246099996,-65.63646380399996
3126,Cementerio de San Miguel de Colorados,-23.573555257999942,-65.69722813999994
3127,Cementerio de San José de Pozo Colorado,-23.540702963999934,-65.81813567699999
3128,Cementerio de Rinconadillas,-23.39329515199995,-65.95878415899995
3129,Cementerio de Rodeíto,-24.268805069999928,-64.77104946399999
3130,Cementerio de La Mendieta,-24.295729569999935,-64.95137635399993
3131,Cementerio Parque San Lucas,-24.26850746899993,-64.86117035399997
3132,Cementerio de Santa Clara,-24.278690319999953,-64.68878196699995
3133,Cementerio de La Esperanza,-24.22162128499997,-64.84721034899997
3134,Cementerio de San Pedro de Jujuy,-24.231519847999948,-64.87374063299995
3135,Cementerio de El Cóndor,-22.38275261499996,-65.33754663099995
3136,Cementerio de Hornaditas,-22.494577318999973,-65.38376576999997
3137,Cementerio de Llulluchayoc,-22.548583777999966,-65.39219872899997
3138,Cementerio de Puesto Viejo,-24.474824595999962,-64.97183692499993
3139,Cementerio de Aguas Calientes,-24.585401273999935,-64.92219774599994
3140,Cementerio de San Antonio,-24.367239290999976,-65.33149338599998
3141,Cementerio de Pampa Blanca,-24.539297718999933,-65.07858229999994
3142,Cementerio de Perico,-24.38363253999995,-65.10974512699994
3143,Cementerio de Ovejería,-24.468346459999964,-65.11958727799998
3144,Cementerio de Los Lapachos,-24.485231342999953,-65.05382996399999
3145,Cementerio Nuestra Señora del Carmen,-23.619989234999935,-65.40925425599994
3146,Cementerio de Huichaira,-23.580964113999983,-65.41975575399994
3147,Cementerio de Juella,-23.531358145999945,-65.38304103199994
3148,Cementerio de Tilcara,-23.576791794999963,-65.38854654499994
3149,Cementerio de Caspalá,-23.357543892999956,-65.09750836699993
3150,Cementerio de Colonia San José,-23.38912726899997,-65.34646057599997
3151,Cementerio de San Lucas,-23.61081964799996,-65.04103337399994
3158,Cementerio de Santa Catalina,-21.943623978999938,-66.05326740999993
3159,Cementerio de San Francisco,-21.99005626899998,-66.16360066599998
3160,Cementerio de La Ciénaga,-21.95907310299998,-66.25623094399998
3161,Cementerio Antiguo de El Angosto,-21.881381406999935,-66.18296371599996
3162,Cementerio de El Angosto,-21.872613779999938,-66.18516360399997
3163,Cementerio de Yuto,-23.64392453599993,-64.47442816299997
3164,Cementerio de Yavi,-22.132570675999943,-65.45981534499998
3165,Cementerio de Suripujio,-22.178190825999934,-65.34281843499997
3166,Cementerio de Cholacor,-22.317512319999935,-65.33330342699998
3167,Cementerio de Tanques,-23.186936385999957,-66.50518078399995
3168,Cementerio de Susques,-23.399383519999958,-66.36681797699998
3169,Cementerio de Abdón Castro Tolay,-23.334440533999953,-66.09128914299998
3170,Cementerio de San Francisco,-23.625877850999927,-64.95236556499998
3171,Cementerio de Pampichuela,-23.54069674899995,-64.99886944699995
3172,Cementerio de Valle Grande,-23.473329640999964,-64.94709199099998
3173,Cementerio de Valle Colorado,-23.416253986999948,-64.93666791899994
3174,Cementerio de Santa Ana,-23.356247379999957,-64.98961718999993
3175,Cementerio de Cauchari,-24.067854593999982,-66.82740794499995
3176,Cementerio de San Juan y Oros,-22.223840889999963,-66.24760713499995
3177,Cementerio de Yoscaba,-22.16635458899998,-66.02304420499996
3178,,-22.290919763999966,-66.05260930799994
3179,Cementerio de Cabrería,-22.07507917099997,-66.25720229399997
3180,Cementerio de Ciénaga,-22.168422058999965,-66.41080987899994
3181,Cementerio de Timón Cruz,-22.194067535999977,-66.16243468799996
3182,Cementerio de Paicone,-22.217891590999955,-66.40990944799995
3183,Cementerio de Casa Colorada,-22.328662360999942,-66.28278996699999
3184,Cementerio de San Juan de Oro,-22.215356104999955,-66.38583668499996
3185,,-22.141072382999937,-65.56942469699999
3186,Cementerio de Pumahuasi,-22.297205161999955,-65.68302988199997
3187,Cementerio de Cieneguillas,-22.12080903499998,-65.87434535199998
3188,Cementerio de Rodeo,-22.274334652999983,-65.92075678499998
3189,Cementerio de Casira,-21.97781378999997,-65.89449171299998
3190,,-22.115061366999953,-65.74929698499994
3191,Cementerio de Cerro Colorado,-22.19293162599996,-65.54437753299999
3192,Cementerio de Cerrillos,-22.298844793999933,-65.85501742199995
3193,Cementerio Antiguo de La Quiaca,-22.124532355999975,-65.59709277399998
3194,,-22.23949584899998,-65.69271935499995
3195,Cementerio de Rinconada,-22.44562314799998,-66.16761947799995
3196,Cementerio de Pan de Azúcar,-22.608929070999977,-66.08636020699998
3197,Cementerio de Orosmayo,-22.561060806999933,-66.34562521399994
3198,,-22.453801820999956,-66.42862543199993
3199,Cementerio de Puesto del Marqués,-22.537437960999966,-65.70282757799998
3200,Cementerio de Cangrejos,-22.471043333999944,-65.54594649599994
3201,,-22.66106437899998,-65.53560667899995
3202,Cementerio de Carahuasi,-22.55697724199996,-65.96675696399996
3203,Cementerio de Pozuelos,-22.42903273999997,-65.95510585099998
3204,Cementerio de Tanquiches,-22.65498486499996,-65.81277660199999
3205,Cementerio de La Redonda,-22.51349929099996,-65.52593464699999
3206,Cementerio de Muñayoc,-22.70612519599996,-66.07773915599995
3207,Cementerio de Casabindo,-22.984015455999952,-66.02898473999994
3208,Cementerio de Mina Pirquitas,-22.684531456999935,-66.49600883699998
3209,Cementerio de Barrealito,-22.749739683999962,-66.46689095999994
3210,Cementerio de Agua Caliente de la Puna,-22.834409776999962,-66.08610765599997
3211,Cementerio de Chajarahuaico,-22.671069227999965,-66.17941126099998
3212,Cementerio de Nuevo Pirquitas,-22.68633757899994,-66.45377758799998
3213,Cementerio de Coranzulí,-23.01277609999994,-66.36550699999998
3214,Cementerio de Santa Ana de la Puna,-23.126713491999965,-66.05150140599994
3215,Cementerio de San Juan de Quillaques,-23.227275635999945,-66.33895765499994
3216,Cementerio de Lozano,-24.07594585099997,-65.40910690999993
3217,Cementerio de la Castellana,-24.067113279999944,-65.41589230799997
3218,Cementerio de Tiraxi,-24.00000472499994,-65.33325212499994
3219,Cementerio Privado Jardín de Paz,-24.018657707999978,-65.44433225499995
3220,Cementerio Parque El Jardín del Castillo,-24.166701732999968,-65.36764140899999
3221,Cementerio El Salvador,-24.18824164399996,-65.29095620099997
3222,Cementerio Nuestra Señora del Rosario,-24.19204807099993,-65.28582438599994
3223,Cementerio Privado Parque El Solar,-24.24350120699995,-65.27891260499996
3224,Cementerio Virgen de Paypaya,-24.27058601899995,-65.20426117499994
3225,Cementerio de Río Blanco,-24.227157913999974,-65.23424183099996
3226,Cementerio Privado,-24.24267085899993,-65.21284615499997
3232,Cementerio Nuestra Señora de la Paz,-23.77598868499996,-64.76430340699994
3233,Cementerio de San Borjas,-23.924642872999982,-65.05828199699994
3234,Cementerio de San Bernardo,-23.84420807799995,-65.29241035599995
3235,Cementerio de Tres Lagunas,-23.95285867399997,-65.24664565399996
3236,Cementerio de Laguna de Tesorero,-23.95199328999996,-65.30383484899994
3237,Cementerio de Tumbaya,-23.855971044999933,-65.46968598699993
3238,Cementerio de Volcán,-23.935142034999956,-65.46109821399995
3239,Cementerio de Purmamarca,-23.74853339499998,-65.49929204099993
3240,Cementerio de Bárcena,-23.969057112999963,-65.46169245399994
3241,Cementerio de Puerta de Lipán,-23.669906712999932,-65.57564405399995
3242,Cementerio de San José de Chañi,-23.93883728199995,-65.78909442399998
3243,Cementerio de El Moreno,-23.851813429999936,-65.82691566199998
3244,Cementerio de Tres Morros,-23.719865263999964,-65.84002183599995
3245,Cementerio de Churqui Aguada,-23.07278641599993,-65.38783621099998
3246,Cementerio de Uquía,-23.304380969999954,-65.35917507099998
3247,Cementerio de Humahuaca,-23.204164972999934,-65.35234888199994
3248,Cementerio de Valiazo,-23.204421283999977,-65.27394111799998
3249,Cementerio de Aparzo,-23.09810202799997,-65.18315469199996
3250,Cementerio de Coctaca,-23.170662510999932,-65.30157854799995
3251,Cementerio de Ronqui,-23.083212104999973,-65.32133386199996
3252,Cementerio de Ovara,-23.12462272099998,-65.41357877399997
3253,Cementerio de Chorcán,-23.05262961699998,-65.20825295099996
3254,Cementerio de Palca de Varas,-23.09506728599996,-65.10337931999999
3255,Cementerio de Rodero,-23.064742131999935,-65.32960104499995
3256,Cementerio de Palca de Aparzo,-23.125101790999963,-65.12938097299997
3260,Cementerio de El Piquete,-24.193064638999942,-64.68259972899995
3261,Cementerio de Santa Ana (Nuevo),-23.356992512999966,-64.99180022399997
3262,Cementerio de Pastos Chicos,-23.76006648599997,-66.44872308099997
3263,Cementerio de Puesto Sey,-23.94520096699995,-66.48439405699997
3264,Cementerio de León,-24.04374133799996,-65.43285172499998
3265,Cementerio de Yala,-24.125518341999964,-65.39851961999995
3266,Cementerio de Tilquiza,-24.072294443999965,-65.27568353599997
3267,Cementerio de Los Blancos,-24.165068255999927,-65.21002738799996
3268,Cementerio Los López,-24.093230089999963,-65.17650486299993
3269,Cementerio de Guerrero,-24.187631409999938,-65.43157639599997
3270,Cementerio de Los Paños,-24.28002060999995,-65.40658470899996
3271,Cementerio de Caimancito,-23.758488365999938,-64.58982853599997
3272,Cementerio de Fraile Pintado,-23.97251637499994,-64.79500786899996
3273,Cementerio de Libertador General San Martín,-23.80764002899997,-64.78206986199996
3274,Cementerio de Paraje Alto Queñoa,-22.964292385999954,-65.49585671099999
3275,Cementerio de Agua del Inca,-22.87252690799994,-65.48234561899994
3276,Cementerio de Pueblo Viejo,-22.827234159999932,-65.37098726199997
3277,Cementerio de Casillas,-22.73388019099997,-65.35944305099997
3278,Cementerio de Peña Blanca,-22.969291677999934,-65.30678182199995
3279,Cementerio de Tambillos,-22.89768417299996,-65.96123209199993
3280,Cementerio de Abra Pampa,-22.73425192999997,-65.69874630099997
3281,Cementerio de Tres Cruces,-22.90999865999993,-65.60692514899995
3282,Cementerio de Lumara,-22.936182791999954,-65.73955465599994
3283,Cementerio de Cochinoca,-22.744695088999947,-65.89688425399999
3284,Cementerio de Rumicruz,-22.78497435099996,-65.53740980799995
3285,Cementerio de Tabladitas,-22.746658752999963,-65.60601335999996
4833,Cementerio de Oliva,-32.06774599899995,-63.550183265999976
4834,Cementerio de Choya,-27.53038787099996,-66.38299286899996
3485,Cementerio Monteagudo,-34.58464804999994,-58.552379136999946
3486,Cementerio de San Miguel,-34.53762503199994,-58.73875392799994
3487,Cementerio Parque Jardín Bella Vista,-34.60023067999998,-58.71511252299996
3488,Cementerio Municipal de Bahía Blanca,-38.70839569899994,-62.23000995599995
3489,Cementerio Municipal de Lomas de Zamora,-34.725235031999944,-58.42112005299998
3490,Cementerio Israelita,-34.63838256499997,-58.53249308599993
3491,Cementerio Parque de Paz,-38.65897630099994,-62.20839329399996
3492,Cementerio Municipal de Lanús,-34.731802613999946,-58.37715862199997
3493,Cementerio Parque del Recuerdo,-38.73622116599995,-62.18512961799996
3494,Cementerio Municipal de Tres de Febrero,-34.57425372199998,-58.62080684499995
3495,Cementerio Municipal de América,-35.49377538299996,-62.96352826399993
3496,Cementerio Municipal de San Fernando,-34.45760272599995,-58.552431196999976
3497,Cementerio Municipal de San Fernando del Valle de Catamarca,-28.48450121899998,-65.77339967799998
3498,Cementerio Municipal de Granadero Baigorria,-32.86608572499995,-60.721864454999945
3499,Cementerio de Boulogne,-34.49229664899997,-58.58027627699994
3500,Cementerio Municipal San Roque,-28.42654684699994,-65.73062987399999
3501,Cementerio de El Portezuelo,-28.474332414999935,-65.64578822099998
3502,Cementerio de La Merced,-28.140958699999942,-65.66089494999994
3503,Cementerio de Villa Balcozna,-27.88159059299994,-65.72572538299994
3504,Cementerio Municipal de Chilecito,-29.14957416699997,-67.50677686599994
3505,Cementerio Privado Campo Dorado,-34.74831481499996,-58.25986232499997
3506,Cementerio Municipal de Almirante Brown,-34.79650282399996,-58.34466541799998
3507,Cementerio de Villa Flandria Sur,-34.60157840599993,-59.17851443099994
3508,Cementerio Municipal de Esteban Echeverría,-34.85553843699995,-58.477207663999934
3509,Cementerio Jardín de Paz,-34.846060301999955,-58.18972229599996
3510,Cementerio de San Vicente,-35.00717496799996,-58.417311738999956
3511,Cementerio de Tigre,-34.43182082699997,-58.57935390399996
3512,Cementerio Municipal Santa Isabel,-34.68867808899995,-58.686091301999966
3513,Cementerio Municipal del Pilar,-34.46039638899998,-58.923289239999974
3514,Cementerio Municipal de Garín,-34.411324622999985,-58.74103204099998
3515,Cementerio de 30 de Agosto,-36.288680779999936,-62.547772323999936
3516,Cementerio Municipal de Lobos,-35.202755182999965,-59.09084359899998
3517,Cementerio Municipal de Dolores,-36.32352283599994,-57.69319183899995
3518,Cementerio de Moquehuá,-35.10144727599993,-59.765263637999965
3519,Cementerio Municipal de Paraná,-31.73021977999997,-60.54228920199995
3520,Cementerio Privado Arbolada,-34.34879081399998,-58.77409088899998
3521,Cementerio Oeste,-45.86902644699995,-67.51191326799994
3522,Cementerio Municipal Valle Viejo,-28.471605722999982,-65.71866341799995
3523,Cementerio de San José,-28.39493467099993,-65.70118663099998
3524,Cementerio Sueco,-27.49392389199994,-55.16055138199994
3525,Cementerio de Andalgalá,-27.574596997999947,-66.32416731699993
3526,Cementerio del Norte,-26.80491097299995,-65.18814280399994
3527,Cementerio Municipal de Moreno,-34.63192453399995,-58.81332476199998
3528,Cementerio de Pacará,-26.87895089899996,-65.13360379299996
3529,Cementerio Parque Sierra Serena,-28.37433191899993,-65.71157547799999
3530,Cementerio Parque Nuestra Señora del Valle,-28.399935609999943,-65.71699698199996
3531,Cementerio de San Carlos,-25.89524960199998,-65.93231782799995
3532,Cementerio de Anquincilla,-28.741927249999947,-65.55040314999997
3533,Cementerio de San Carlos Minas,-31.16533778699994,-65.09475860999999
3534,Cementerio de La Falda de San Antonio,-28.42010615399994,-65.69304757999998
3535,Cementerio de Pomancillo Oeste,-28.304578402999937,-65.73305346799998
3536,Cementerio de Miraflores,-28.597049332999973,-65.88582898199996
3537,Cementerio de Coneta,-28.58579715899998,-65.87648745799999
3538,Cementerio de Pomán,-28.39440449799997,-66.22640424299993
3539,Cementerio de Rincón,-28.213424869999983,-66.14074702599999
3540,Cementerio Municipal de Puerto Deseado,-47.745950999999934,-65.87294479999997
3541,Cementerio de San Rafael,-34.59623319999997,-68.31784819999996
3542,Cementerio Municipal de Cañuelas,-35.05451987899994,-58.793210742999975
3543,Cementerio de El Bracho,-26.99302917199998,-65.13472976799994
3544,Cementerio Municipal de Adolfo Alsina,-37.184725337999964,-62.68519472199995
3545,Cementerio Municipal de Tapalqué,-36.36595998499996,-60.034691986999974
3546,Cementerio Municipal de Arrecifes,-34.04969191199996,-60.132538127999965
3547,Cementerio La Piedad Km 3,-26.401393994999978,-54.65369178699996
3548,Cementerio de Garupá,-27.474853202999952,-55.833192071999974
3549,Cementerio de Medanitos,-27.538808692999964,-67.60763430899993
3550,Cementerio de Recreo,-29.28300689499997,-65.04715639499994
3551,Cementerio Asociación Israelita Merced y Verdad,-27.454799715999968,-59.005932221999956
3552,Cementerio de San Francisco Solano,-27.455349781999928,-59.008184108999956
3553,Cementerio de Puerto Iguazú,-25.614533138999946,-54.56465850799998
3554,Cementerio Municipal de Patagones,-40.80191725099996,-62.96710540899994
3555,Cementerio de Barranqueras,-27.480297699999937,-58.94670599999995
3556,Cementerio Municipal Tafí Viejo,-26.745232142999953,-65.24878451099994
3557,Cementerio de Puerto Tirol,-27.368329151999944,-59.09408811299994
3558,Cementerio de San Ignacio,-27.27201584599993,-55.525731389999976
3559,Cementerio de Basail,-27.89262842499994,-59.27369171999993
3560,Cementerio de Colonia Baranda,-27.559317585999963,-59.31379705499995
3561,Cementerio Municipal de Azul,-36.772514383999976,-59.84900055099996
3562,Cementerio de Río Cuarto,-33.11985017799998,-64.37338481899997
3563,Cementerio La Piedad,-27.51654929999995,-55.11757499299995
3564,Cementerio de Laguna Blanca,-27.25702456399995,-59.22068311899994
3565,Cementerio de Colonia Popular,-27.271517304999975,-59.16543598499993
3566,Cementerio de Saujil,-27.559519697999974,-67.62075581799996
3567,Cementerio de Colonia Benítez,-27.32975150599998,-58.96331657899998
3568,Cementerio Municipal de Rosales,-38.866689719999954,-62.085113913999976
3569,Cementerio de El Bolsón,-27.904556027999945,-65.88281575599996
3570,Cementerio Municipal de Gobernador Costa,-44.056999719999965,-70.59917801199998
3571,Cementerio Municipal de José de San Martín,-44.04563977699996,-70.46120769799995
3577,Cementerio Municipal de Roque Pérez,-35.40584212799996,-59.351312993999954
3578,Cementerio del Oeste,-27.013822949999962,-59.86272544999997
3579,Cementerio de Río Gallegos,-51.635456921999946,-69.22157186399994
